総覧ID,総覧抄録ID,遺跡名,遺跡名かな,本内順位,遺跡所在地,所在地2,lon,lat,所在地ふりがな,市町村コード,遺跡番号,北緯（日本測地系）,東経（日本測地系）,北緯（世界測地系）,東経（世界測地系）,調査期間|調査期間,調査期間1,調査期間2,調査面積|調査面積,調査面積2,調査原因
47680,90999,武蔵国府関連遺跡　白水台5丁目8-3他開発行為地区　第1071次,むさしこくふかんれんいせき,24,東京都府中市白糸台5-8-2/3ほか,16白糸台,139.515579,35.663647,とうきょうとふちゅうし,13206,2,,,,,19990908-19991006,1999,,38.1,38.1,建物新築
47680,91000,武蔵国府関連遺跡　（仮称）白糸台6丁目27-1他開発行為地区　第1074次,むさしこくふかんれんいせき,25,東京都府中市白糸台6-27-1ほか,16白糸台,139.51767,35.662426,とうきょうとふちゅうし,13206,2,,,,,19990913-19991109,1999,,353,353,建物新築
47680,91001,武蔵国府関連遺跡　グランドール府中地区　第1089次,むさしこくふかんれんいせき,26,東京都府中市白糸台6-44-1,16白糸台,139.518631,35.661106,とうきょうとふちゅうし,13206,2,,,,,20000107-20000306,2000,,224.3,224.3,建物新築
47680,91002,武蔵国府関連遺跡　相原博宅地区　第1064次,むさしこくふかんれんいせき,27,東京都府中市八幡町1-14-4,06八幡町,139.484116,35.668598,とうきょうとふちゅうし,13206,2,,,,,19990730-19991002,1999,,185.1,185.1,建物新築
47680,91003,武蔵国府関連遺跡　カーサ・シルエラ地区　第1052次,むさしこくふかんれんいせき,28,東京都府中市八幡町1-3-16,06八幡町,139.491699,35.668201,とうきょうとふちゅうし,13206,2,,,,,19990512-19990527,1999,,102,102,建物新築
47680,91004,武蔵国府関連遺跡　パステル府中地区　第1078次,むさしこくふかんれんいせき,29,東京都府中市八幡町2-26-12,06八幡町,139.489151,35.669907,とうきょうとふちゅうし,13206,2,,,,,19991028-19991130,1999,,136.6,136.6,建物新築
47680,91005,武蔵国府関連遺跡　喜多和美・杉山シヅ子宅地区　第1058次,むさしこくふかんれんいせき,30,東京都府中市八幡町3-2-31,06八幡町,139.490967,35.669712,とうきょうとふちゅうし,13206,2,,,,,19990623-19990817,1999,,77.2,77.2,建物新築
47680,91006,武蔵国府関連遺跡　三和工機株式会社西東京ビル地区　第1055次,むさしこくふかんれんいせき,31,東京都府中市美好町1-21-1,09美好町,139.469421,35.673241,とうきょうとふちゅうし,13206,2,,,,,19990601-19990713,1999,,254.8,254.8,建物新築
47680,91007,武蔵国府関連遺跡　デュオスカラ府中駅前地区　第1084次,むさしこくふかんれんいせき,32,東京都府中市府中町1-12,04府中町,139.480255,35.67363,とうきょうとふちゅうし,13206,2,,,,,19991129-20000114,1999,,131.1,131.1,建物新築
47680,91008,武蔵国府関連遺跡　プライムコート府中地区　第1073次,むさしこくふかんれんいせき,33,東京都府中市府中町1-23-8,04府中町,139.48053,35.67498,とうきょうとふちゅうし,13206,2,,,,,19990913-19991026,1999,,176.6,176.6,建物新築
47680,91009,武蔵国府関連遺跡　能登修一宅地区　第1057次,むさしこくふかんれんいせき,34,東京都府中市府中町1-26-23,04府中町,139.480347,35.675419,とうきょうとふちゅうし,13206,2,,,,,19990621-19990802,1999,,71.3,71.3,建物新築等
47680,91010,武蔵国府関連遺跡　長稔宅地区　第1075次,むさしこくふかんれんいせき,35,東京都府中市府中町1-26-8,04府中町,139.480347,35.675419,とうきょうとふちゅうし,13206,2,,,,,19991004-19991112,1999,,74.9,74.9,建物新築等
47680,91011,武蔵国府関連遺跡　ロイヤルコート府中地区　第1049次,むさしこくふかんれんいせき,36,東京都府中市府中町1-31-4,04府中町,139.479477,35.67588,とうきょうとふちゅうし,13206,2,,,,,19990401-19990507,1999,,150.5,150.5,建物新築等
47680,91012,武蔵国府関連遺跡　マイキャッスル府中いちょう通りイースト地区　第1048次,むさしこくふかんれんいせき,37,東京都府中市府中町2-14-9,04府中町,139.484039,35.673782,とうきょうとふちゅうし,13206,2,,,,,19990316-19990602,1999,,603.7,603.7,建物新築等
47680,91013,武蔵国府関連遺跡　田島廣志・道子宅地区　第1063次,むさしこくふかんれんいせき,38,東京都府中市府中町2-18-9/10,04府中町,139.482635,35.674839,とうきょうとふちゅうし,13206,2,,,,,19990709-19990803,1999,,53.3,53.3,建物新築等
47680,91014,武蔵国府関連遺跡　リトルアージュ地区　第1076次,むさしこくふかんれんいせき,39,東京都府中市府中町2-6-17,04府中町,139.483124,35.672283,とうきょうとふちゅうし,13206,2,,,,,19991014-19991227,1999,,139,139,建物新築等
47680,91015,武蔵国府関連遺跡　日本経済新聞社　府中東部専売所地区　第1069次,むさしこくふかんれんいせき,40,東京都府中市府中町2-7-5,04府中町,139.483368,35.672665,とうきょうとふちゅうし,13206,2,,,,,19990823-19991007,1999,,103.7,103.7,建物新築等
47680,91016,武蔵国府関連遺跡　関口昌英宅地区　第1096次,むさしこくふかんれんいせき,41,東京都府中市府中町3-1-18,04府中町,139.484787,35.674278,とうきょうとふちゅうし,13206,2,,,,,20000221-20000225,2000,,15.4,15.4,建物新築等
47680,91017,武蔵国府関連遺跡　マイキャッスル府中中央地区　第1092次,むさしこくふかんれんいせき,42,東京都府中市府中町3-2-2,04府中町,139.485077,35.675011,とうきょうとふちゅうし,13206,2,,,,,20000112-20000225,2000,,437.4,437.4,建物新築等
47680,91019,武蔵国府関連遺跡　ガーデンホーク地区　第1054次,むさしこくふかんれんいせき,44,東京都府中市片町1-18-4,08片町,139.470352,35.670921,とうきょうとふちゅうし,13206,2,,,,,19990531-19990803,1999,,143.3,143.3,建物新築等
47680,91020,武蔵国府関連遺跡　小田急コアロード府中片町地区　第1082次,むさしこくふかんれんいせき,45,東京都府中市片町1-4-1,08片町,139.471695,35.671967,とうきょうとふちゅうし,13206,2,,,,,19991122-19990317,1999,,819.7,819.7,建物新築等
47680,91021,武蔵国府関連遺跡　大房信明・啓子宅地区　第1061次,むさしこくふかんれんいせき,46,東京都府中市片町2-23-18,08片町,139.469925,35.669403,とうきょうとふちゅうし,13206,2,,,,,19990705-19990722,1999,,61.3,61.3,建物新築等
47680,91022,武蔵国府関連遺跡　清水ハイツ地区　第1070次,むさしこくふかんれんいせき,47,東京都府中市本町2-4-22,03本町,139.475754,35.667126,とうきょうとふちゅうし,13206,2,,,,,19990903-119991022,1999,,28.5,28.5,建物新築等
47680,91023,武蔵国府関連遺跡　カーサベルデ地区　第1065次,むさしこくふかんれんいせき,48,東京都府中市緑町1-1-1,07緑町,139.484192,35.672302,とうきょうとふちゅうし,13206,2,,,,,19990809-19991029,1999,,339.5,339.5,建物新築等
47681,91024,武蔵国府関連遺跡　第916次,むさしこくふかんれんいせき,1,東京都府中市八幡町2-29,06八幡町,139.489609,35.669319,とうきょうとふちゅうしはちまんちょう,13206,2,354008,1392920,,,19960918-19980827,1996,,3889.2,3889.2,都営住宅建設
47682,91025,武蔵国府関連遺跡　第1038次・第1056-1次・第1056-2次・第1088次,むさしこくふかんれんいせき,1,東京都府中市日吉町,14日吉町,139.485535,35.66346,とうきょうとふちゅうしひよしちょう,13206,2,,,,,19981214-19990331ほか,1998,,8200,8200,東京競馬場馬場内投票所新築工事
47683,91026,武蔵国府関連遺跡　第1028次,むさしこくふかんれんいせき,1,東京都府中市日鋼町1-4ほか,11日鋼町,139.467865,35.678078,とうきょうとふちゅうしにっこうちょう,13206,2,354027,1392835,,,20020905-20021220,2002,,1171.1,1171.1,ケーズデンキ府中本店建設
47684,91027,武蔵国府関連遺跡　第740次,むさしこくふかんれんいせき,1,東京都府中市宮町3-6-7,01宮町,139.479797,35.667389,とうきょうとふちゅうしみやまち,13206,2,,,354002,1392848,19930521-20000125,1993,,6635.47,6635.47,都営住宅建設
47685,91028,武蔵国府関連遺跡　北多摩1号線第1幹線地区　第339次,むさしこくふかんれんいせき,1,東京都府中市栄町3-12-3,19栄町,139.469223,35.688187,とうきょうとふちゅうし,13206,2,,,,,19860925-19860927,1986,,27.5,27.5,建物新築等
47685,91029,武蔵国府関連遺跡　府中ロイヤルマンション地区　第344次,むさしこくふかんれんいせき,2,東京都府中市栄町3-28-1,19栄町,139.474518,35.688702,とうきょうとふちゅうし,13206,2,,,,,19861106-19861209,1986,,332.3,332.3,建物新築等
47685,91030,武蔵国府関連遺跡　ブロッサム府中地区　第302次,むさしこくふかんれんいせき,3,東京都府中市宮西町1-15-6,02宮西町,139.477158,35.672115,とうきょうとふちゅうし,13206,2,,,,,19860320-19860407,1986,,63,63,建物新築等
47685,91031,武蔵国府関連遺跡　府中市役所北庁舎地区　第325次,むさしこくふかんれんいせき,4,東京都府中市宮西町2-18/-19,02宮西町,139.478256,35.669334,とうきょうとふちゅうし,13206,2,,,,,19860616-19861013,1986,,1072.7,1072.7,建物新築等
47685,91032,武蔵国府関連遺跡　内藤材木店地区　第348次,むさしこくふかんれんいせき,5,東京都府中市宮西町2-22-2,02宮西町,139.477188,35.669495,とうきょうとふちゅうし,13206,2,,,,,19861204-19870105,1986,,66.2,66.2,建物新築等
47685,91033,武蔵国府関連遺跡　サンケンパレス府中宮西PARTIII地区　第338次,むさしこくふかんれんいせき,6,東京都府中市宮西町3-15-5,02宮西町,139.473907,35.67144,とうきょうとふちゅうし,13206,2,,,,,19860920-19861024,1986,,52.2,52.2,建物新築等
47685,91034,武蔵国府関連遺跡　サンケンパレス府中宮西PART5地区　第317次,むさしこくふかんれんいせき,7,東京都府中市宮西町3-15-6,02宮西町,139.473907,35.67144,とうきょうとふちゅうし,13206,2,,,,,19860526-19860531,1986,,60.3,60.3,建物新築等
47685,91035,武蔵国府関連遺跡　モランボン開発センター地区　第305次,むさしこくふかんれんいせき,8,東京都府中市宮西町3-5-1,02宮西町,139.473969,35.671986,とうきょうとふちゅうし,13206,2,,,,,19860409-19860602,1986,,74.8,74.8,建物新築等
47685,91036,武蔵国府関連遺跡　サンケンパレス府中宮西PARTII地区　第306次,むさしこくふかんれんいせき,9,東京都府中市宮西町3-5-7,02宮西町,139.473969,35.671986,とうきょうとふちゅうし,13206,2,,,,,19860409-19860605,1986,,138.6,138.6,建物新築等
47685,91037,武蔵国府関連遺跡　信州屋ビル地区　第303次,むさしこくふかんれんいせき,10,東京都府中市宮西町4-11-1,02宮西町,139.47525,35.670292,とうきょうとふちゅうし,13206,2,,,,,19860327-19860612,1986,,248.7,248.7,建物新築等
47685,91038,武蔵国府関連遺跡　植松商店地区　第354次,むさしこくふかんれんいせき,11,東京都府中市宮西町5-4-4,02宮西町,139.475952,35.669624,とうきょうとふちゅうし,13206,2,,,,,19870224-19870312,1987,,41.7,41.7,建物新築等
47685,91039,武蔵国府関連遺跡　MODULATION DAIICHI地区　第353次,むさしこくふかんれんいせき,12,東京都府中市宮町1-21-1,01宮町,139.482117,35.671223,とうきょうとふちゅうし,13206,2,,,,,19870220-19870224,1987,,23.1,23.1,建物新築等
47685,91040,武蔵国府関連遺跡　マンション松本地区　第290次,むさしこくふかんれんいせき,13,東京都府中市宮町1-3-44,01宮町,139.481506,35.667938,とうきょうとふちゅうし,13206,2,,,,,19851210-19860502,1985,,169.2,169.2,建物新築等
47685,91041,武蔵国府関連遺跡　SANSQUARE地区　第329次,むさしこくふかんれんいせき,14,東京都府中市宮町1-34-1,01宮町,139.483322,35.670994,とうきょうとふちゅうし,13206,2,,,,,19860714-19860816,1986,,465.8,465.8,建物新築等
47685,91042,武蔵国府関連遺跡　メゾン府中地区　第330次,むさしこくふかんれんいせき,15,東京都府中市宮町1-36-5,01宮町,139.483246,35.670254,とうきょうとふちゅうし,13206,2,,,,,19860714-1986015,1986,,501.6,501.6,建物新築等
47685,91043,武蔵国府関連遺跡　第15三ツ木ビル地区　第342次,むさしこくふかんれんいせき,16,東京都府中市宮町2-15-12,01宮町,139.481064,35.669773,とうきょうとふちゅうし,13206,2,,,,,19861028-19861126,1986,,78.9,78.9,建物新築等
47685,91044,武蔵国府関連遺跡　土屋栄一宅地区　第351次,むさしこくふかんれんいせき,17,東京都府中市宮町2-19-2,01宮町,139.481827,35.669331,とうきょうとふちゅうし,13206,2,,,,,19870207-19870212,1987,,8.4,8.4,建物新築等
47685,91045,武蔵国府関連遺跡　大国魂神社相撲場地区　第312次,むさしこくふかんれんいせき,18,東京都府中市宮町3-1,01宮町,139.479401,35.669147,とうきょうとふちゅうし,13206,2,,,,,19860515-19860521,1986,,88.2,88.2,建物新築等
47685,91046,武蔵国府関連遺跡　沢井ビル地区　第332次,むさしこくふかんれんいせき,19,東京都府中市寿町1-4-2,05寿町,139.478561,35.673393,とうきょうとふちゅうし,13206,2,,,,,19860721-19861003,1986,,115.7,115.7,建物新築等
47685,91047,武蔵国府関連遺跡　ハイツ　YOU地区　第345次,むさしこくふかんれんいせき,20,東京都府中市寿町2-9-3,05寿町,139.475174,35.674988,とうきょうとふちゅうし,13206,2,,,,,19861117-19861209,1986,,175.4,175.4,建物新築等
47685,91048,武蔵国府関連遺跡　阿川商店地区　第320次,むさしこくふかんれんいせき,21,東京都府中市清水が丘1-5-5,10清水が丘,139.493622,35.667587,とうきょうとふちゅうし,13206,2,,,,,19860605-19860714,1986,,95.1,95.1,建物新築等
47685,91049,武蔵国府関連遺跡　サンケンパレス府中八幡PARTII地区　第311次,むさしこくふかんれんいせき,22,東京都府中市八幡町2-1-28,06八幡町,139.486389,35.670704,とうきょうとふちゅうし,13206,2,,,,,19860514-19861202,1986,,101.4,101.4,建物新築等
47685,91050,武蔵国府関連遺跡　サンケンパレス府中八幡PART・地区　第318次,むさしこくふかんれんいせき,23,東京都府中市八幡町2-1-6/28,06八幡町,139.486389,35.670704,とうきょうとふちゅうし,13206,2,,,,,19860527-19861201,1986,,144.8,144.8,建物新築等
47685,91051,武蔵国府関連遺跡　アーバンハイムIII地区　第334次,むさしこくふかんれんいせき,24,東京都府中市八幡町2-23-17,06八幡町,139.488174,35.670467,とうきょうとふちゅうし,13206,2,,,,,19860825-19861202,1986,,397.8,397.8,建物新築等
47685,91052,武蔵国府関連遺跡　八幡町第2公園防火貯水槽埋設地区　第352次,むさしこくふかんれんいせき,25,東京都府中市八幡町2-30,06八幡町,139.489563,35.668625,とうきょうとふちゅうし,13206,2,,,,,19870209,1987,,15.9,15.9,建物新築等
47685,91053,武蔵国府関連遺跡　ケイズ府中地区　第314次,むさしこくふかんれんいせき,26,東京都府中市美好町1-1-2,09美好町,139.473343,35.673,とうきょうとふちゅうし,13206,2,,,,,19860522-19860822,1986,,267.8,267.8,建物新築等
47685,91054,武蔵国府関連遺跡　第12東菱ビル地区　第321次,むさしこくふかんれんいせき,27,東京都府中市美好町1-18-10,09美好町,139.470093,35.673279,とうきょうとふちゅうし,13206,2,,,,,19860610-19860802,1986,,29.5,29.5,建物新築等
47685,91055,武蔵国府関連遺跡　パークサイド88地区　第319次,むさしこくふかんれんいせき,28,東京都府中市美好町1-36-10,09美好町,139.468338,35.672401,とうきょうとふちゅうし,13206,2,,,,,19860602-19860905,1986,,369.2,369.2,建物新築等
47685,91056,武蔵国府関連遺跡　アーサー8地区　第307次,むさしこくふかんれんいせき,29,東京都府中市美好町1-40-1,09美好町,139.468536,35.671608,とうきょうとふちゅうし,13206,2,,,,,19860418-19860527,1986,,87.5,87.5,建物新築等
47685,91057,武蔵国府関連遺跡　コーポウライ地区　第349次,むさしこくふかんれんいせき,30,東京都府中市美好町1-40-5,09美好町,139.468536,35.671608,とうきょうとふちゅうし,13206,2,,,,,19861218-19870212,1986,,105.6,105.6,建物新築等
47685,91058,武蔵国府関連遺跡　グランディ府中地区　第331次,むさしこくふかんれんいせき,31,東京都府中市美好町3-13-2,09美好町,139.465973,35.671551,とうきょうとふちゅうし,13206,2,,,,,19860721-19860825,1986,,274.7,274.7,建物新築等
47685,91059,武蔵国府関連遺跡　府中市立西保育所地区　第308次,むさしこくふかんれんいせき,32,東京都府中市美好町3-23,09美好町,139.46286,35.67062,とうきょうとふちゅうし,13206,2,,,,,19860506-09860730,1986,,675.6,675.6,建物新築等
47685,91060,武蔵国府関連遺跡　佐々木康之宅地区　第326次,むさしこくふかんれんいせき,33,東京都府中市美好町3-33-1,09美好町,139.46846,35.669106,とうきょうとふちゅうし,13206,2,,,,,19860616-19860830,1986,,171.1,171.1,建物新築等
47685,91061,武蔵国府関連遺跡　中村ハイツ地区　第336次,むさしこくふかんれんいせき,34,東京都府中市美好町3-40-16,09美好町,139.464752,35.668747,とうきょうとふちゅうし,13206,2,,,,,19860828-19860829,1986,,145.6,145.6,建物新築等
47685,91062,武蔵国府関連遺跡　府中南ビルディング地区　第299次,むさしこくふかんれんいせき,35,東京都府中市府中町1-10-3,04府中町,139.481323,35.673615,とうきょうとふちゅうし,13206,2,,,,,19860307-19860630,1986,,692.8,692.8,建物新築等
47685,91063,武蔵国府関連遺跡　レジデンス・オーク地区　第301次,むさしこくふかんれんいせき,36,東京都府中市府中町1-12-17,04府中町,139.480255,35.67363,とうきょうとふちゅうし,13206,2,,,,,19860319-19860621,1986,,230.2,230.2,建物新築等
47685,91064,武蔵国府関連遺跡　五洋建設東京支店多摩営業所地区　第328次,むさしこくふかんれんいせき,37,東京都府中市府中町1-17-4,04府中町,139.480423,35.674278,とうきょうとふちゅうし,13206,2,,,,,19860621-09860905,1986,,72.9,72.9,建物新築等
47685,91065,武蔵国府関連遺跡　メゾン21地区　第324次,むさしこくふかんれんいせき,38,東京都府中市府中町1-26-16,04府中町,139.480347,35.675419,とうきょうとふちゅうし,13206,2,,,,,19860616-19860825,1986,,208.7,208.7,建物新築等
47685,91066,武蔵国府関連遺跡　GAST HAUS地区　第323次,むさしこくふかんれんいせき,39,東京都府中市府中町1-26-17,04府中町,139.480347,35.675419,とうきょうとふちゅうし,13206,2,,,,,19860613-19860731,1986,,157.9,157.9,建物新築等
47685,91067,武蔵国府関連遺跡　エスペランザ地区　第316次,むさしこくふかんれんいせき,40,東京都府中市府中町1-28-12,04府中町,139.481354,35.675762,とうきょうとふちゅうし,13206,2,,,,,19860526-19860602,1986,,144.3,144.3,建物新築等
47685,91068,武蔵国府関連遺跡　Hotel　Continental地区　第244次ほか,むさしこくふかんれんいせき,41,東京都府中市府中町1-5-1,04府中町,139.481735,35.672295,とうきょうとふちゅうし,13206,2,,,,,19840609-19860717,1984,,647,647,建物新築等
47685,91069,武蔵国府関連遺跡　三和ビル2地区　第294次,むさしこくふかんれんいせき,42,東京都府中市府中町1-6-2,04府中町,139.481323,35.672344,とうきょうとふちゅうし,13206,2,,,,,19860205-19860531,1986,,284.9,284.9,建物新築等
47685,91070,武蔵国府関連遺跡　角ないとうビル地区　第310次,むさしこくふかんれんいせき,43,東京都府中市府中町2-1-7,04府中町,139.482315,35.672905,とうきょうとふちゅうし,13206,2,,,,,19860513-19860818,1986,,137.1,137.1,建物新築等
47685,91071,武蔵国府関連遺跡　日本ユニ＆ソニック株式会社地区　第346次,むさしこくふかんれんいせき,44,東京都府中市府中町2-10-10,04府中町,139.482101,35.67421,とうきょうとふちゅうし,13206,2,,,,,19861118-19870304,1986,,264.7,264.7,建物新築等
47685,91072,武蔵国府関連遺跡　教育舎　EAST地区　第343次,むさしこくふかんれんいせき,45,東京都府中市府中町2-21-11,04府中町,139.484131,35.675137,とうきょうとふちゅうし,13206,2,,,,,19861104-19861105,1986,,35.6,35.6,建物新築等
47685,91073,武蔵国府関連遺跡　ホワイトハウス88地区　第347次,むさしこくふかんれんいせき,46,東京都府中市府中町2-7-2,04府中町,139.483368,35.672665,とうきょうとふちゅうし,13206,2,,,,,19861119-19870312,1986,,191.5,191.5,建物新築等
47685,91074,武蔵国府関連遺跡　こん　あもーれ地区　第298次,むさしこくふかんれんいせき,47,東京都府中市府中町3-2-1,04府中町,139.485077,35.675011,とうきょうとふちゅうし,13206,2,,,,,19860307-19860506,1986,,155.6,155.6,建物新築等
47685,91075,武蔵国府関連遺跡　東芝エンジニアリング株式会社府中営業所地区　第309次,むさしこくふかんれんいせき,48,東京都府中市武蔵台1-1-15,20武蔵台,139.4690138,35.68657324,とうきょうとふちゅうし,13206,1,,,,,19860507-19860807,1986,,1157.9,1157.9,建物新築等
47685,91076,武蔵国府関連遺跡　府中市立片町文化センター地区　第327次,むさしこくふかんれんいせき,49,東京都府中市片町2-17,08片町,139.469543,35.670719,とうきょうとふちゅうし,13206,2,,,,,19860619-19861013,1986,,575.6,575.6,建物新築等
47685,91077,武蔵国府関連遺跡　Residence23地区　第300次,むさしこくふかんれんいせき,50,東京都府中市片町2-3-7,08片町,139.470917,35.667591,とうきょうとふちゅうし,13206,2,,,,,19860317-19860416,1986,,100.2,100.2,建物新築等
47685,91078,武蔵国府関連遺跡　Bell Katamachi地区　第337次,むさしこくふかんれんいせき,51,東京都府中市片町2-9-5/2-9-6,08片町,139.471298,35.670128,とうきょうとふちゅうし,13206,2,,,,,19860916-19861101,1986,,169.1,169.1,建物新築等
47685,91079,武蔵国府関連遺跡　府中市立本宿体育館地区　第340次,むさしこくふかんれんいせき,52,東京都府中市本宿町4-23-9,17本宿町,139.459915,35.67939,とうきょうとふちゅうし,13206,2,,,,,19861013-19861227,1986,,1607.9,1607.9,建物新築等
47685,91080,武蔵国府関連遺跡　パワーズマンション地区　第341次,むさしこくふかんれんいせき,53,東京都府中市緑町2-17-10,07緑町,139.489792,35.672459,とうきょうとふちゅうし,13206,2,,,,,19861013-19861030,1986,,99.8,99.8,建物新築等
47685,91081,武蔵国府関連遺跡　グリーンハイツ木城地区　第322次,むさしこくふかんれんいせき,54,東京都府中市緑町3-5-1,07緑町,139.494171,35.669655,とうきょうとふちゅうし,13206,2,,,,,19860612-19860721,1986,,116.4,116.4,建物新築等
47686,91082,武蔵国府関連遺跡　モランボン（株）開発センター別館地区　第867次,むさしこくふかんれんいせき,1,東京都府中市宮西町3-3-17,02宮西町,139.47438,35.672409,とうきょうとふちゅうしみやにしちょう,13206,2,,,354008,1392840,19950929-19951128,1995,,167.6,167.6,商業ビル
47686,91083,武蔵国府関連遺跡　ペデストリアンデッキ地区　第860次,むさしこくふかんれんいせき,2,東京都府中市宮町1-12・14,01宮町,139.480255,35.671413,とうきょうとふちゅうしみやまち,13206,2,,,354006,1392901,19950809-19951006,1995,,95.9,95.9,店舗
47686,91084,武蔵国府関連遺跡　モスバーガー府中駅前店地区　第848次,むさしこくふかんれんいせき,3,東京都府中市宮町1-14-9,01宮町,139.480255,35.671803,とうきょうとふちゅうしみやまち,13206,2,,,354007,1392900,19950616-19950627,1995,,70.5,70.5,店舗
47686,91085,武蔵国府関連遺跡　大黒屋地区　第849次,むさしこくふかんれんいせき,4,東京都府中市宮町1-21-7,01宮町,139.482117,35.671223,とうきょうとふちゅうしみやまち,13206,2,,,354006,1392907,19950620-19950830,1995,,186.6,186.6,店舗
47686,91086,武蔵国府関連遺跡　ダイナシティ府中地区　第823次,むさしこくふかんれんいせき,5,東京都府中市宮町1-22-7,01宮町,139.481415,35.670841,とうきょうとふちゅうしみやまち,13206,2,,,354004,1392904,19950124-19950419,1995,,220,220,集合住宅
47686,91087,武蔵国府関連遺跡　都市計画道路7・5・4号線地区　第838次,むさしこくふかんれんいせき,6,東京都府中市宮町1-24先ほか,01宮町,139.481384,35.670326,とうきょうとふちゅうしみやまち,13206,2,,,354005,1392906,19950508-19951006,1995,,306.9,306.9,道路
47686,91088,武蔵国府関連遺跡　杉村ビル地区　第868次,むさしこくふかんれんいせき,7,東京都府中市宮町1-25-5,01宮町,139.481873,35.670307,とうきょうとふちゅうしみやまち,13206,2,,,354002,1392906,19951002-19951115,1995,,127.1,127.1,ビル
47686,91089,武蔵国府関連遺跡　ライオンズシティ府中宮町地区　第863次,むさしこくふかんれんいせき,8,東京都府中市宮町1-29-3,01宮町,139.482758,35.670719,とうきょうとふちゅうしみやまち,13206,2,,,354003,1392910,19950907-19951130,1995,,345.8,345.8,集合住宅
47686,91090,武蔵国府関連遺跡　土地計画道路3・4・19号線地区　第870次,むさしこくふかんれんいせき,9,東京都府中市宮町1-9-1,01宮町,139.480789,35.670311,とうきょうとふちゅうしみやまち,13206,2,,,354002,1392901,19951009-19951023,1995,,66.7,66.7,道路
47686,91091,武蔵国府関連遺跡　イタリアンレストランモナムール地区　第829次,むさしこくふかんれんいせき,10,東京都府中市宮町2-1-1,01宮町,139.480026,35.669746,とうきょうとふちゅうしみやまち,13206,2,,,354000,1392859,19950223-19950420,1995,,160.6,160.6,店舗
47686,91092,武蔵国府関連遺跡　パークサイドK地区　第825次,むさしこくふかんれんいせき,11,東京都府中市宮町2-18-2,01宮町,139.482315,35.6698,とうきょうとふちゅうしみやまち,13206,2,,,353959,1392907,19950207-19950417,1995,,160.3,160.3,集合住宅
47686,91093,武蔵国府関連遺跡　ライオンズマンション府中宮町地区　第834次,むさしこくふかんれんいせき,12,東京都府中市宮町2-27-5,01宮町,139.483109,35.668911,とうきょうとふちゅうしみやまち,13206,2,,,353956,1392911,19950413-19951005,1995,,779.3,779.3,集合住宅
47686,91094,武蔵国府関連遺跡　グランドリド地区　第855次,むさしこくふかんれんいせき,13,東京都府中市若松町1-20-5,13若松町,139.503174,35.66848,とうきょうとふちゅうしわかまつちょう,13206,2,,,353956,1393023,19950726-19950930,1995,,430.7,430.7,集合住宅
47686,91095,武蔵国府関連遺跡　シーアイマンション府中地区　第836次,むさしこくふかんれんいせき,14,東京都府中市寿町2-1-35,05寿町,139.477493,35.673065,とうきょうとふちゅうしことぶきちょう,13206,2,,,354012,1392850,19950421-19950811,1995,,582.8,582.8,集合住宅
47686,91096,武蔵国府関連遺跡　京王自動車地区　第866次,むさしこくふかんれんいせき,15,東京都府中市寿町3-1-8,05寿町,139.474747,35.673138,とうきょうとふちゅうしことぶきちょう,13206,2,,,354011,1392842,19950927-19951006,1995,,105.5,105.5,駐車場
47686,91097,武蔵国府関連遺跡　オートバイ用品2りんかん地区　第865次,むさしこくふかんれんいせき,16,東京都府中市西府町5-12-5,18西府町,139.451996,35.676334,とうきょうとふちゅうしにしふちょう,13206,2,,,354023,1392719,19950925-19951026,1995,,253.1,253.1,店舗
47686,91098,武蔵国府関連遺跡　引間剛・健次宅地区　第843次,むさしこくふかんれんいせき,17,東京都府中市白糸台1-70-6,16白糸台,139.506561,35.666061,とうきょうとふちゅうししらいとだい,13206,2,,,353945,1393036,19950530-19950726,1995,,251.5,251.5,個人住宅
47686,91099,武蔵国府関連遺跡　引間義雄宅地区　第880次,むさしこくふかんれんいせき,18,東京都府中市白糸台1-76-1,16白糸台,139.506714,35.665394,とうきょうとふちゅうししらいとだい,13206,2,,,353944,1393036,19960129-19960331,1996,,253.8,253.8,個人住宅
47686,91100,武蔵国府関連遺跡　ハイツコンフォート地区　第881次,むさしこくふかんれんいせき,19,東京都府中市白糸台1-79-11,16白糸台,139.505768,35.665588,とうきょうとふちゅうししらいとだい,13206,2,,,353944,1393033,19960202-19960314,1996,,235.3,235.3,共同住宅
47686,91101,武蔵国府関連遺跡　澤田進一宅地区　第874次,むさしこくふかんれんいせき,20,東京都府中市白糸台2-11-26,16白糸台,139.512085,35.666634,とうきょうとふちゅうししらいとだい,13206,2,,,353948,1393054,19951207-19951215,1995,,50,50,個人住宅
47686,91102,武蔵国府関連遺跡　多摩川線管理所地区　第871次,むさしこくふかんれんいせき,21,東京都府中市白糸台2-71-6,16白糸台,139.509613,35.665924,とうきょうとふちゅうししらいとだい,13206,2,,,353948,1393047,19951113-19951204,1995,,22.2,22.2,その他建物
47686,91103,武蔵国府関連遺跡　プレシャスハウス地区　第872次,むさしこくふかんれんいせき,22,東京都府中市八幡町1-15-2,06八幡町,139.483826,35.669647,とうきょうとふちゅうしはちまんちょう,13206,2,,,354000,1392913,19951116-19960125,1995,,90.7,90.7,集合住宅
