総覧ID,総覧抄録ID,種別,時代,主な遺構,住居,掘立,井戸,道路,主な遺物,特記事項,遺跡名,遺跡名かな,本内順位,遺跡所在地,lon,lat,所在地ふりがな,市町村コード,遺跡番号,北緯（日本測地系）,東経（日本測地系）,北緯（世界測地系）,東経（世界測地系）,調査期間,調査面積,調査面積2,調査原因
47685,90988,集落|官衙,奈良|平安,土坑6|溝,,,,,土師器|須恵器,時代 : 奈良から平安,武蔵国府関連遺跡　サンケンパレス府中八幡PARTII地区　第311次,むさしこくふかんれんいせき,22,東京都府中市八幡町2-1-28,139.486389,35.670704,とうきょうとふちゅうし,13206,2,,,,,19860514-19861202,101.4,101.4,建物新築等
47679,90989,集落|官衙,奈良|平安,掘立柱建物4|竪穴建物6,4,4,,,土師器|須恵器|緑釉陶器|灰釉陶器|ロクロ土師器（椀）など,時代 : 奈良から平安,武蔵国府関連遺跡　サンシャインコーポ府中地区　第963次,むさしこくふかんれんいせき,2,東京都府中市宮西町3-3,139.47438,35.672409,とうきょうとふちゅうし,13206,2,,,,,19970617-199970812,206.2,206.2,建物新築
47687,90990,集落|官衙,奈良|平安,土坑3,,,,,,時代 : 奈良から平安,武蔵国府関連遺跡　サンテラス府中地区　第899次,むさしこくふかんれんいせき,18,東京都府中市八幡町1-3-13,139.484329,35.670811,とうきょうとふちゅうしはちまんちょう,13206,2,,,354003,1392914,19960603-19960817,148.4,148.4,集合住宅
48035,90992,集落|官衙,奈良|平安,竪穴建物5,5,,,,土師器（甕）,時代 : 奈良から平安,武蔵国府関連遺跡　サンプラザ東府中地区　第0107次,むさしこくふかんれんいせき　さんぷらざひがしふちゅうちく,7,東京都府中市緑町3-11-10,139.491806,35.670799,とうきょうとふちゅうしみどりちょうさんのじゅういちのじゅう,13206,2,,,354012,1392933,19800508-19800617,410.2,410.2,
48036,90993,集落|官衙,奈良|平安,竪穴建物2|道路1|土坑3|溝1,2,,,1,,時代 : 奈良から平安,武蔵国府関連遺跡　サンライズ西府地区　第1443次,むさしこくふかんれんいせき　さんらいずにしふちく,1,東京都府中市西府町1-32-2/10,139.457016,35.673679,とうきょうとふちゅうしにしふちょういちのさんじゅうにのに　じゅう,13206,2,,,354019,1392711,20090330-20090408,97.4,97.4,
47695,90994,集落|官衙,奈良|平安,ピット3,,,,,須恵器,時代 : 奈良から平安,武蔵国府関連遺跡　サンライト尾崎地区　第737次,むさしこくふかんれんいせき　さんらいとおざき,30,東京都府中市美好町3-6-1,139.467728,35.670074,とうきょうとふちゅうしみよしちょう,13206,2,,,354011,1392805,19930428-19930715,190.5,190.5,集合住宅建設
48036,90995,集落|官衙,奈良|平安,道路1,,,,1,,時代 : 奈良から平安,武蔵国府関連遺跡　シアリーガーデン地区　第1452次,むさしこくふかんれんいせき　しありーがーでんちく,10,東京都府中市本宿町2-11-3,139.461258,35.673061,とうきょうとふちゅうしほんしゅくちょうにのじゅういちのさん,13206,2,,,354020,1392741,20090624-20090730,292.6,292.6,
47686,90996,集落|官衙,奈良|平安,竪穴建物2|柵1|土坑4|溝1,2,,,,土師器|紡錘車,時代 : 奈良から平安,武蔵国府関連遺跡　シーアイマンション府中地区　第836次,むさしこくふかんれんいせき,14,東京都府中市寿町2-1-35,139.477493,35.673065,とうきょうとふちゅうしことぶきちょう,13206,2,,,354012,1392850,19950421-19950811,582.8,582.8,集合住宅
47686,90997,集落|官衙,奈良|平安,,,,,,土器|銭貨（永楽通宝）,時代 : 奈良から平安,武蔵国府関連遺跡　ジークレフ府中分倍河原地区　第826次,むさしこくふかんれんいせき,44,東京都府中市片町2-22-1,139.470016,35.668934,とうきょうとふちゅうしかたまち,13206,2,,,353956,1392821,19950207-19950509,868.6,868.6,集合住宅
47679,90999,集落|官衙,奈良|平安,溝2,,,,,,時代 : 奈良から平安,武蔵国府関連遺跡　シダー武蔵野台地区　第980次,むさしこくふかんれんいせき,18,東京都府中市白糸台5-1-31,139.512848,35.664516,とうきょうとふちゅうし,13206,2,,,,,19970924-19971011,104.1,104.1,建物新築
47678,91000,集落|官衙,古墳|古代(細分不明),竪穴建物9,9,,,,土師器（杯）,時代 : 古墳から奈良から平安,武蔵国府関連遺跡　シティハイム地区　第243次,むさしこくふかんれんいせき,9,東京都府中市府中町1-27-12,139.481308,35.67532,とうきょうとふちゅうし,13206,2,,,,,19840604-19840611,66.8,66.8,建物新築
47687,91001,集落|官衙,奈良|平安,竪穴建物4|掘立柱建物1|土坑1,4,1,,,土師器（杯・甕）,時代 : 奈良から平安,武蔵国府関連遺跡　シャルマンやなぎ地区　第922次,むさしこくふかんれんいせき,14,東京都府中市清水が丘1-4-28,139.493835,35.66827,とうきょうとふちゅうししみずがおか,13206,2,,,353956,1392851,19961016-19961116,135,135,集合住宅
47694,91002,集落,古墳|奈良,竪穴建物3|鍛冶炉,3,,,,鞴羽口|鋳型|銅製椀|銅滓|鉄滓|土師器|須恵器,,武蔵国府関連遺跡　ジュネス寿地区　第718次,むさしこくふかんれんいせき　じゅねすことぶき,13,東京都府中市寿町2-2-47,139.476776,35.673153,とうきょうとふちゅうしことぶきちょう,13206,2,,,354021,1392837,19930120-19930301,215.8,215.8,集合住宅建設
47694,91002,集落|官衙,奈良|平安,掘立柱建物2,,2,,,瓦,時代 : 奈良から平安,武蔵国府関連遺跡　ジュネス寿地区　第718次,むさしこくふかんれんいせき　じゅねすことぶき,13,東京都府中市寿町2-2-47,139.476776,35.673153,とうきょうとふちゅうしことぶきちょう,13206,2,,,,,,,,
47672,91003,集落|官衙,奈良|平安,竪穴建物2,2,,,,須恵器,時代 : 奈良から平安,武蔵国府関連遺跡　スカイコート府中地区　第232次,むさしこくふかんれんいせき,6,東京都府中市若松町2-3-4,139.498352,35.670654,とうきょうとふちゅうし,13206,2,,,,,19840216-19840218,416.5,416.5,建物新築
47679,91004,集落|官衙,奈良|平安,土坑|溝2,,,,,土師器|須恵器,時代 : 奈良から平安,武蔵国府関連遺跡　スチューデントパーク府中地区　第975次,むさしこくふかんれんいせき,16,東京都府中市白糸台1-57-8,139.508926,35.666313,とうきょうとふちゅうし,13206,2,,,,,19970805-19971021,661.1,661.1,建物新築
47672,91005,集落|官衙,奈良|平安,道路1|土坑3,,,,1,須恵器|土師器|鉄製品（刀子）,時代 : 奈良から平安,武蔵国府関連遺跡　セゾンド大国地区　第217次,むさしこくふかんれんいせき,1,東京都府中市宮西町5-3-7,139.476181,35.669571,とうきょうとふちゅうし,13206,2,,,,,19830627-19830910,399.7,399.7,建物新築
47694,91006,集落|官衙,奈良|平安,竪穴建物2,2,,,,須恵器（杯・長頸瓶）,時代 : 奈良から平安,武蔵国府関連遺跡　セブンイレブン府中八幡町店地区　第705次,むさしこくふかんれんいせき　せぶんいれぶんふちゅうはちまんちょうてん,23,東京都府中市八幡町2-30-1,139.489563,35.668625,とうきょうとふちゅうしはちまんちょう,13206,2,,,354008,1392925,19921016-19921016,119.4,119.4,店舗建設
47694,91007,集落|官衙,奈良|平安,竪穴建物1|柵1|道路1|土坑4|溝3,1,,,1,土師器|須恵器|瓦,時代 : 奈良から平安,武蔵国府関連遺跡　ゼルコピア地区　第700次,むさしこくふかんれんいせき　ぜるこぴあ,34,東京都府中市府中町2-3-4,139.482437,35.672024,とうきょうとふちゅうしふちゅうちょう,13206,2,,,354017,1392857,19920921-19930111,253.7,253.7,集合住宅建設
47687,91008,集落|官衙,奈良|平安,竪穴建物3|掘立柱建物2|柵1|土坑1,3,2,,,土師器|須恵器,時代 : 奈良から平安,武蔵国府関連遺跡　センターコア地区　第911次,むさしこくふかんれんいせき,34,東京都府中市府中町1-14-5・6,139.479523,35.673698,とうきょうとふちゅうしふちゅうちょう,13206,2,,,354015,1392858,19960821-19961009,118.7,118.7,店舗
